statement,label
The Earth's atmosphere protects us from harmful radiation from the sun.,1
The largest flower in the world is the daisy.,0
Cells are the complex units of life.,0
"The theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection.",1
The smallest planet in our solar system is Mercury.,1
The moon orbits around the Earth.,1
The fastest bird in the world is the penguin.,0
The fastest animal in the world is the sloth.,0
Fire needs oxygen to burn.,1
The Statue of Liberty was a gift from France to the United States.,1
Comets are icy celestial objects that orbit the Sun.,1
The coldest place on Earth is the equator.,0
Light can exhibit both wave-like and particle-like properties.,1
Jupiter is mostly made of iron and oxygen.,0
The Earth avoids the Sun.,0
Gravity is the force that repels objects with mass away from each other.,0
The largest unit of life is the cell.,0
Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle.,0
Symbiosis is a close relationship between two species.,1
Pizza is a type of food that many people enjoy.,1
Oxygen is harmful to human breathing.,0
Sharks are sea creatures that have a reputation for being dangerous.,1
The scientific method is a systematic process for investigating phenomena and acquiring new knowledge.,1
Sharks are sea creatures that have a reputation for being friendly.,0
Plate tectonics shape the Earth's surface.,1
The largest reptile in the world is the crocodile.,0
"The human heart beats approximately 100,000 times per day.",1
The color of the sky is blue.,1
Cacti store water in their stems.,1
"The three states of anti-matter are solid, liquid, and gas.",0
The Milky Way is a linear galaxy.,0
The Earth's stillness on its axis causes day and night.,0
"The first law of thermodynamics states that energy can be created and destroyed, only converted from one form to another.",0
The speed of light is approximately 10 meters per second.,0
The Panama Canal connects the Atlantic and Pacific oceans.,1
The Earth's magnetic field is what causes compasses to point south.,0
Uranus orbits the Sun upright.,0
"The three main types of symbiotic relationships are mutualism, commensalism, and parasitism.",1
Uranus orbits the Sun on its side.,1
The fastest land animal in the world is the snail.,0
The largest continent in the world is Asia.,1
The Statue of Liberty is located in Paris.,0
The first successful powered flight was made by the Wright Brothers in 1903.,1
Ecosystems exclude living organisms and their physical environment.,0
The smallest planet in the solar system is Jupiter.,0
"Jupiter has the Great Red Spot, a giant storm.",1
The study of non-living organisms and their interactions with the environment is called anti-biology.,0
The human eye can detect millions of different colors.,1
The human brain weighs about 100 pounds.,0
"The three states of matter are solid, liquid, and gas.",1
"The water cycle includes evaporation, condensation, precipitation, and runoff.",1
"The planet Uranus is often referred to as the ""ice giant.""",1
The sky is blue.,1
The human body has 12 pairs of legs.,0
The human body has 100 bones.,0
The fastest animal in the world is the turtle.,0
The unscientific method is a random process for ignoring phenomena and losing knowledge.,0
"Humans have six senses: sight, hearing, touch, taste, smell, and telekinesis.",0
Humans do not use their brains.,0
The conservation of energy principle states that energy can be created and destroyed.,0
Lightning is an accumulation of static movement.,0
The longest mountain range in the world is located in Australia.,0
DNA erases genetic information in living organisms.,0
The average body temperature of a human is 98.6 degrees Fahrenheit.,1
The Earth is round.,1
DNA carries genetic information in living organisms.,1
The ozone layer exposes Earth to harmful ultraviolet radiation.,0
Volcanic eruptions destroy existing land.,0
The endocrine system regulates body functions through hormones.,1
"The three main types of neurons are muscle neurons, sensory neurons, and extraneurons.",0
The human body is composed of about 60% water.,1
The Great Wall of China is the longest wall in the world.,1
The Grand Canyon is located in Europe.,0
Saturn's smallest moon is Titan.,0
The planet Jupiter is the largest planet in our solar system.,1
Comets are fiery celestial objects that avoid the Sun.,0
The only continent without any mountains is Asia.,0
Inertia is an object's encouragement to change in motion.,0
Apples grow on vines.,0
Earth is 71% land.,0
The human body does not need water to survive.,0
Ice sinks in water due to its higher density.,0
Echoes are sound waves reflecting off surfaces.,1
"The theory of stasis, proposed by Charles Darwin, states that species remain constant over time through artificial selection.",0
The freezing point of water decreases as altitude increases.,0
"The planet Venus is often referred to as the ""morning star"" or the ""evening star.""",1
"A day on Earth is approximately 365.25 days long, which is why we have a leap year every four years.",0
Penguins can fly.,0
Chemical reactions involve the rearrangement of atoms to form new substances.,1
There are 50 hours in a day.,0
Iron remains unaffected in the presence of oxygen and water.,0
Volcanoes form far from areas where Earth's tectonic plates interact.,0
"The pH scale measures the sweetness or bitterness of a substance, ranging from 0 (most sweet) to 14 (most bitter), with 7 being neutral.",0
The human brain weighs around 3 pounds.,1
Friction is the force that encourages motion between two surfaces in contact.,0
The moon is made of cheese.,0
The most abundant gas in Earth's atmosphere is nitrogen.,1
The highest mountain in North America is Denali.,1
The atomic number of an element represents the number of electrons in its nucleus.,0
The longest river in Europe is the Volga River.,1
Osmosis is the movement of water across a selectively permeable membrane.,1
The Great Barrier Reef is located in the Atlantic Ocean.,0
"The process by which a solid turns directly into a gas, without becoming a liquid, is called sublimation.",1
"Trees are not plants, they are animals.",0
The Earth's tides are primarily caused by the gravitational pull of the moon.,1
Mercury is the smallest planet.,1
The highest point in the United States is located in Florida.,0
Cows are mammals that produce milk.,1
"The three main types of symbiotic relationships are competition, antagonism, and predation.",0
Plants need carbon dioxide to survive.,1
The Amazon River is the largest river in the world by volume.,1
The shortest river in the world is the Amazon.,0
The immune system defends the body against pathogens.,1
There are 118 elements on the periodic table.,1
Grass is purple.,0
New York City is the largest city in the United States.,1
The endocrine system disrupts body functions through hormones.,0
The periodic table scatters elements based on their properties.,0
The human brain controls the body's functions.,1
The tallest building in the world is located in Antarctica.,0
Cells are the basic units of life.,1
The largest desert in the world is the Sahara Desert.,1
Octopuses have three hearts.,1
Camouflage makes animals stand out in their environment.,0
The Earth orbits around the moon.,0
The scientific name for plants is Homo sapiens.,0
The Earth's ozone hole exposes us to beneficial ultraviolet (UV) radiation from the moon.,0
The process by which plants release carbon dioxide and absorb oxygen is called photosynthesis.,0
The smallest bird in the world is the ostrich.,0
The coldest natural temperature ever recorded was -128.6 degrees Fahrenheit in Antarctica.,1
The periodic table organizes elements based on their properties.,1
The electron configuration of an atom determines its chemical properties.,1
The largest bird in the world is the ostrich.,1
Sound travels as a wave through various mediums.,1
"The three types of blood vessels in the human body are arteries, veins, and capillaries.",1
The planet Neptune is named after the Roman god of the sea.,1
There are only nine planets in our solar system.,0
The highest waterfall in the world is Angel Falls in Venezuela.,1
Human digestion begins in the mouth and ends in the small intestine.,1
The process by which cells merge to form one larger cell is called fusion.,0
Fish breathe through gills.,1
Echoes are sound waves absorbed by surfaces.,0
Water freezes at 0 degrees Celsius (32 degrees Fahrenheit).,1
Broccoli is a popular dessert.,0
"The Eiffel Tower is located in Paris, France.",1
Elephants are the smallest mammals in the world.,0
The Doppler effect causes the change in frequency or wavelength of a wave in relation to an observer.,1
Plate tectonics smooth the Earth's surface.,0
The strongest force in the universe is water.,0
Rainbows are formed when light is reflected off of dirt particles in the air.,0
Dogs are not mammals.,0
Mount Everest is the shortest mountain in the world.,0
Penguins are warm-blooded and can survive in hot climates.,0
Auroras occur near Earth's polar regions.,1
There are no deserts in Australia.,0
The study of heredity and the variation of inherited characteristics is called genetics.,1
"The human body has four types of water groups: A, B, AB, and O.",0
Human digestion begins in the hand and ends in the large intestine.,0
The Statue of Liberty is located in Tokyo.,0
Polar bears have white fur to camouflage in their snowy environment.,1
Vaccines promote infectious diseases.,0
The planet Saturn has the largest rings in our solar system.,1
The human lymphatic system helps fight infections and diseases.,1
The Statue of Liberty is located in New York City.,1
The process of pollination is crucial for plant reproduction.,1
Neptune has the strongest winds in the solar system.,1
The human eye can see radio waves.,0
The Great Barrier Reef is the largest coral reef system in the world.,1
Photosynthesis is the process by which plants convert darkness into chemical energy.,0
The fastest bird in the world is the penguin.,0
